Model,MAE,MSE,RMSE,R2,Adjusted_R2,MAPE,Cross_Validation
Linear Regression,13.80780779228624,285.7601283045731,16.90444108228879,0.8995986369317001,0.8977558647261836,inf,0.0
Decision Tree,1.689338940910022,5.797634573720753,2.407827770776131,0.997963010384874,0.997925623364111,3.510447172820378,0.0
Random Forest,8.238594980650086,108.11169571531518,10.397677419275672,0.9620151289900256,0.961340841338961,inf,0.9647323602005026
XGBoost,8.562488618075744,116.02620153353888,10.77154592124728,0.9592343800560292,0.958510729997852,inf,0.9616066516786492
LightGBM,8.32594488501214,109.9234582946201,10.484438864079475,0.9613785691116492,0.9606929815810868,inf,0.9642458638334712
CatBoost,8.088697348213723,103.8463549801171,10.190503176002505,0.9635137496209214,0.9628660647029496,inf,0.9654249011685077
SVR,9.805382231497813,151.7453486566805,12.318496201106711,0.9466845149643596,0.9457380862359164,inf,0.9480450873184896
KNN,20.98831296690057,750.2092219760177,27.389947462089403,0.7364151922814083,0.7317361720260487,inf,0.7453997397025687
